name,slug,value,date_of_information,ranking,region
"Djibouti","djibouti","73.0","","1","Africa"
"South Africa","south-africa","57.0"," est.","2","Africa"
"French Polynesia","french-polynesia","56.7"," est.","3","Australia - Oceania"
"Cabo Verde","cabo-verde","50.4","","4","Africa"
"Kosovo","kosovo","49.5"," est.","5","Europe"
"Libya","libya","48.7"," est.","6","Africa"
"Eswatini","eswatini","47.1","","7","Africa"
"Malawi","malawi","40.5"," est.","8","Africa"
"Gaza Strip","gaza-strip","40.2"," est.","9","Middle East"
"West Bank","west-bank","40.2"," est.","10","Middle East"
"Algeria","algeria","39.3"," est.","11","Africa"
"South Sudan","south-sudan","38.6"," est.","12","Africa"
"New Caledonia","new-caledonia","38.4"," est.","13","Australia - Oceania"
"Namibia","namibia","38.0"," est.","14","Africa"
"Botswana","botswana","37.8"," est.","15","Africa"
"Jordan","jordan","37.3"," est.","16","Middle East"
"Saint Lucia","saint-lucia","37.2"," est.","17","Central America"
"Syria","syria","35.8"," est.","18","Middle East"
"Greece","greece","35.2"," est.","20","Europe"
"Tunisia","tunisia","34.9"," est.","21","Africa"
"Lesotho","lesotho","34.4"," est.","22","Africa"
"Bosnia and Herzegovina","bosnia-and-herzegovina","33.8"," est.","23","Europe"
"Armenia","armenia","32.6"," est.","24","Middle East"
"Sudan","sudan","32.6"," est.","25","Africa"
"Spain","spain","32.5"," est.","26","Europe"
"Samoa","samoa","31.9"," est.","27","Australia - Oceania"
"Costa Rica","costa-rica","31.5"," est.","28","Central America"
"Georgia","georgia","30.4"," est.","29","Middle East"
"Guam","guam","29.4"," est.","30","Australia - Oceania"
"Bermuda","bermuda","29.3"," est.","31","North America"
"Curacao","curacao","29.3"," est.","32","Central America"
"Italy","italy","29.2"," est.","33","Europe"
"Saudi Arabia","saudi-arabia","28.8"," est.","34","Middle East"
"Uruguay","uruguay","28.7"," est.","35","South America"
"Brazil","brazil","27.8"," est.","36","South America"
"Iran","iran","27.7"," est.","37","Middle East"
"Serbia","serbia","27.5"," est.","38","Europe"
"Zimbabwe","zimbabwe","27.5"," est.","39","Africa"
"San Marino","san-marino","27.4"," est.","40","Europe"
"Albania","albania","27.0"," est.","41","Europe"
"Monaco","monaco","26.6"," est.","42","Europe"
"Nauru","nauru","26.6","","43","Australia - Oceania"
"Puerto Rico","puerto-rico","26.6"," est.","44","Central America"
"Guyana","guyana","26.5"," est.","45","South America"
"Suriname","suriname","26.5"," est.","46","South America"
"Barbados","barbados","26.0"," est.","47","Central America"
"Zambia","zambia","26.0"," est.","48","Africa"
"Argentina","argentina","25.9"," est.","49","South America"
"Bahamas, The","bahamas-the","25.8"," est.","50","Central America"
"Gambia, The","gambia-the","25.8"," est.","51","Africa"
"Iraq","iraq","25.6","","52","Middle East"
"Mongolia","mongolia","25.3"," est.","53","East Asia/Southeast Asia"
"Ethiopia","ethiopia","25.2"," est.","54","Africa"
"Montenegro","montenegro","25.2"," est.","55","Europe"
"Turkey","turkey","25.2"," est.","56","Middle East"
"Egypt","egypt","24.7"," est.","57","Africa"
"Yemen","yemen","24.5"," est.","58","Middle East"
"Lebanon","lebanon","23.4","","59","Middle East"
"India","india","22.3"," est.","60","South Asia"
"Morocco","morocco","22.2"," est.","61","Africa"
"Mauritius","mauritius","21.8"," est.","62","Africa"
"Brunei","brunei","21.4"," est.","63","East Asia/Southeast Asia"
"Nepal","nepal","21.4"," est.","64","South Asia"
"Mauritania","mauritania","21.1"," est.","65","Africa"
"Sri Lanka","sri-lanka","21.1"," est.","66","South Asia"
"Sao Tome and Principe","sao-tome-and-principe","20.8"," est.","67","Africa"
"Jamaica","jamaica","20.6"," est.","68","Central America"
"Tuvalu","tuvalu","20.6","","69","Australia - Oceania"
"Rwanda","rwanda","20.5"," est.","70","Africa"
"Canada","canada","20.2"," est.","71","North America"
